Company,ZIP,City,Country,State,Sales,County,latitude,longitude,Year
"Truck Parts Plus, Inc.",17050,Mechanicsburg,USA,PA,0,Cumberland,40.24907,-77.03005,2023
Altorfor CAT,52404,Cedar Rapids,USA,IA,0,Linn,41.92153,-91.69077,2023
Altorfor CAT - East Peoria,61611,East Peoria,USA,IL,0,Tazewell,40.71185,-89.53469,2023
Altorfor CAT - Springfield,62703,Springfield,USA,IL,0,Sangamon,39.76276,-89.63106,2023
DPF Alternatives of Cincinnati,45150,Milford,USA,OH,0,Clermont,39.16567,-84.23281,2023
Texas Trucks Direct,76401,Stephenville,USA,TX,11148,Erath,32.27918,-98.19994,2023
Allstate Peterbilt of Eagan,55122,Eagan,USA,MN,36342,Dakota,44.80326,-93.1962,2023
American Fleet Supply - Bismarck,58503,Bismarck,USA,ND,0,Burleigh,46.90587,-100.75262,2023
Allstate Parts & Service of Clear Lake,50428,Clear Lake,USA,IA,0,Cerro Gordo,43.13573,-93.38815,2023
Allstate Peterbilt of Fargo,58104,Fargo,USA,ND,11089,Cass,46.79371,-96.83838,2023
DPF Alternatives Boise LLC,83605,Caldwell,USA,ID,0,Canyon,43.66442,-116.65171,2023
Truck Parts & Service,40215,Louisville,USA,KY,69,Jefferson,38.19052,-85.78555,2023
King George Truck and Tire Center,22485,King George,USA,VA,0,King George,38.2717,-77.15996,2023
Total Truck Parts - Ft. Myers,33905,Ft. Myers,USA,FL,11193,Lee,26.66873,-81.76166,2023
D & W Diesel - Buffalo Branch,14227,Buffalo,USA,NY,5627,Erie,42.88402,-78.74665,2023
"Truck Sales & Service, Inc.",45750,Marietta,USA,OH,0,Washington,39.4301,-81.42947,2023
JX Truck Center - Milwaukee,53154,Oak Creek,USA,WI,13089,Milwaukee,42.8803,-87.90092,2023
"Cole Truck Parts, Inc.",24701,Bluefield,USA,WV,0,Mercer,37.29929,-81.2065,2023
"Cole Truck Parts, Inc.",24701,Bluefield,USA,WV,0,Mercer,37.29929,-81.2065,2023
"Cole Truck Parts, Inc.",25801,Beckley,USA,WV,0,Raleigh,37.83805,-81.27017,2023
"Cole Truck Parts, Inc.",24631,Oakwood,USA,VA,0,Buchanan,37.2202,-81.99714,2023
"Cole Truck Parts, Inc.",26201,Buckhannon,USA,WV,0,Upshur,39.00082,-80.20249,2023
Total Truck Parts,33309,Ft. Lauderdale,USA,FL,-872,Broward,26.18793,-80.17385,2023
TLG Peterbilt - Louisville,47130,Jeffersonville,USA,IN,0,Clark,38.33528,-85.69689,2023
Blaine Brothers - Scanlon,55720,Scanlon,USA,MN,3167,Carlton,46.75138,-92.5399,2023
Peach State Truck Centers LLC,30071,Norcross,USA,GA,0,Gwinnett,33.93977,-84.20561,2023
Peach State Ford Truck Sales Inc,30071,Norcross,USA,GA,0,Gwinnett,33.93977,-84.20561,2023
Peach State Freightliner LLC,30297,Forest Park,USA,GA,0,Clayton,33.61511,-84.37145,2023
Birmingham Freightliner LLC,35214,Birmingham,USA,AL,0,Jefferson,33.57322,-86.89081,2023
Diesel Injection,49548,Grand Rapids,USA,MI,22193,Kent,42.86795,-85.66273,2023
Peach State Freightliner,30340,Doraville,USA,GA,0,DeKalb,33.89808,-84.25113,2023
Echo,46406,Gary,USA,IN,0,Lake,41.6022,-87.40804,2023
Allstate Peterbilt of La Crosse,54669,West Salem,USA,WI,16225,La Crosse,43.91171,-91.09046,2023
Allstate Peterbilt of Williston,58801,Williston,USA,ND,9322,Williams,48.23522,-103.76747,2023
Gulf Coast Truck & Equipment,36606,Mobile,USA,AL,38985,Mobile,30.67088,-88.10617,2023
Kim's Radiator & Mfg. Co. Inc.,70665,Sulphur,USA,LA,0,Calcasieu,30.12756,-93.44555,2023
TLG Peterbilt - Greensboro,27409,Greensboro,USA,NC,8948,Guilford,36.09242,-79.94431,2023
Allstate Peterbilt of Rogers,55374,Rogers,USA,MN,10695,Hennepin,45.17715,-93.58035,2023
Allstate Peterbilt of Eau Claire,54703,EAU CLAIRE,USA,WI,-3028,EAU CLAIRE,44.83311,-91.5185,2023
The Pete Store - Boston,02762,Plainville,USA,MA,16563,Norfolk,42.01409,-71.33642,2023
Allstate Peterbilt of South St. Paul,55075,South St. Paul,USA,MN,42694,Dakota,44.88794,-93.0411,2023
Fleet Express DPF Cleaning,46241,Indianapolis,USA,IN,8754,Marion,39.72389,-86.26842,2023
Truck Centers Inc.,63147,St. Louis,USA,MO,0,St. Louis,38.69567,-90.21589,2023
Inland Kenworth - Tolleson,85353,Tolleson,USA,AZ,2810,Maricopa,33.41721,-112.27283,2023
Tom Nehl Truck Co.,32254,Jacksonville,USA,FL,49142,Duval,30.34164,-81.73549,2023
Tom Nehl Truck Co.,32024,Lake City,USA,FL,0,Columbia,30.0793,-82.72597,2023
Tom Nehl Truck Co.,31503,Waycross,USA,GA,4645,Ware,31.17687,-82.40173,2023
North Florida Western Star,32216,Jacksonville,USA,FL,0,Duval,30.27891,-81.58305,2023
TLG Peterbilt - NW Arkansas,72745,Lowell,USA,AR,0,Benton,36.2477,-94.10046,2023
Allstate Peterbilt of Superior,54880,Superior,USA,WI,7967,Douglas,46.59342,-92.12701,2023
Allstate Peterbilt of Rochester,55976,Stewartville,USA,MN,0,Olmsted,43.86378,-92.48394,2023
"Dover Brake & Clutch Co., Inc.",07849,Lake Hopatcong,USA,NJ,4480,Morris,40.96861,-74.61066,2023
Inland Kenworth - Tucson,85705,Tucson,USA,AZ,950,Pima,32.27119,-110.99172,2023
"Fleet Concepts of Charleston, Inc.",29405,Charleston,USA,SC,0,Charleston,32.85207,-79.97903,2023
Active Radiator,19134,Philadelphia,USA,PA,0,Philadelphia,39.98953,-75.10838,2023
Active Radiator - Dayton,41074,Dayton,USA,KY,0,Campbell,39.11018,-84.4607,2023
Coastal Diesel Injection Service,78408,Corpus Christi,USA,TX,0,Nueces,27.80081,-97.44339,2023
FleetPride Truck & Trailer Parts,75039,Irving,USA,TX,6221,Dallas,32.88592,-96.94042,2023
FleetPride - RDC Lawrenceville,30043,Lawrenceville,USA,GA,0,Gwinnett,34.00353,-84.00703,2023
FleetPride - RDC Bolingbrook,60490,Bolingbrook,USA,IL,0,Will,41.67575,-88.14118,2023
FleetPride - RDC Grapevine,76051,Grapevine,USA,TX,354300,Tarrant,32.94192,-97.07888,2023
FleetPride - RDC North Haven,06473,North Haven,USA,CT,400696,New Haven,41.38069,-72.85598,2023
FleetPride - RDC Visalia,93291,Visalia,USA,CA,183457,Tulare,36.38931,-119.36838,2023
All Systems Brake,11798,Wyandanch,USA,NY,1410,Suffolk,40.752,-73.37497,2023
Inland Kenworth - Albuquerque,87121,Albuquerque,USA,NM,0,Bernalillo,35.01031,-106.87816,2023
Active Radiator - Florida,33815,Lakeland,USA,FL,0,Polk,28.04067,-81.99634,2023
Active Radiator - Atlanta,30336,Atlanta,USA,GA,4151,Fulton,33.73718,-84.56768,2023
Active Radiator - Baltimore,20705,Beltsville,USA,MD,0,Prince George's,39.04503,-76.90009,2023
Active Radiator - Dallas,75134,Lancaster,USA,TX,0,Dallas,32.62308,-96.78007,2023
Active Radiator - Chicago,60431,Joliet,USA,IL,0,Will,41.53355,-88.20568,2023
Active Radiator - Houston,77040,Houston,USA,TX,1128,Harris,29.87539,-95.52861,2023
OneSource Distributors,92121,San Diego,USA,CA,0,San Diego,32.8973,-117.20231,2023
Allstate Peterbilt of Dickinson,58601,Dickinson,USA,ND,0,Stark,46.90964,-102.82766,2023
"Old River Companies, Inc.",39440,Laurel,USA,MS,0,Jones,31.694,-89.14791,2023
Marko's Radiator,17976,Shenandoah,USA,PA,0,Schuylkill,40.8204,-76.21131,2023
Serck Radiator Services,86004,Flagstaff,USA,AZ,0,Coconino,35.37546,-111.37515,2023
"Daigle & Houghton, Inc.",04743,Fort Kent,USA,ME,0,Aroostook,47.15427,-68.72512,2023
Fortenberry Diesel Service LLC,39648,McComb,USA,MS,0,Pike,31.18611,-90.38804,2023
"Rush Enterprises, Inc. (CANADA)",78265,San Antonio,USA,TX,10842,Bexar,29.4246002,-98.4951405,2023
Fleet Acquisitions LLC DBA Fleet Product,33610,Tampa,USA,FL,10521,Hillsborough,27.9972,-82.38015,2023
Fleet Products,33610,Tampa,USA,FL,1929,Hillsborough,27.9972,-82.38015,2023
Fleet Products,33762,Clearwater,USA,FL,0,Pinellas,27.89685,-82.67946,2023
Fleet Products,33803,Lakeland,USA,FL,3595,Polk,28.00887,-81.93604,2023
HDA Truck Pride- CPAY- Canada,63042,Hazelwood,USA,MO,0,St. Louis,38.78133,-90.37909,2023
Cargo Heavy Duty Inc.,49001,Kalamazoo,USA,MI,9101,Kalamazoo,42.2647,-85.56265,2023
Roberts Truck Center,79404,Lubbock,USA,TX,0,Lubbock,33.52651,-101.79856,2023
Roberts Truck Center,76903,San Angelo,USA,TX,3215,Tom Green,31.48168,-100.43787,2023
Roberts Truck Center,87410,Farmington,USA,NM,1120,San Juan,36.86708,-107.89433,2023
Roberts Truck Center,87104,Albuquerque,USA,NM,0,Bernalillo,35.10278,-106.67492,2023
Roberts Truck Center,79563,Tye,USA,TX,416,Taylor,32.42222,-99.90929,2023
Roberts Truck Center,79706,Midland,USA,TX,0,Midland,31.83622,-101.97025,2023
Freightliner Westernstar of Elkton,21921,Elkton,USA,MD,0,Cecil,39.62568,-75.85904,2023
Advantage Truck Center,27409,Greensboro,USA,NC,0,Guilford,36.09242,-79.94431,2023
Advantage Truck Center,28613,Conover,USA,NC,0,Catawba,35.73978,-81.20897,2023
ACT Compliance dba FleetServ,92408,San Bernardino,USA,CA,0,San Bernardino,34.0845,-117.2653,2023
FleetServ - Michigan,48186,Westland,USA,MI,0,Wayne,42.29481,-83.37461,2023
"Western Michigan Fleet Parts, Inc.",49464,Zeeland,USA,MI,210,Ottawa,42.84183,-85.98338,2023
FleetPride Truck & Trailer Parts,12569,Pleasant Valley,USA,NY,0,Duchess,41.7346,-73.79731,2023
FleetPride Truck & Trailer Parts,85085,Phoenix,USA,AZ,0,Maricopa,33.75637,-112.07426,2023
Fleetpride Truck & Trailer Parts,77571,La Porte,USA,TX,0,Harris,29.69287,-95.06012,2023
"Big Machine Parts, LLC",64064,Lee's Summit,USA,MO,0,Jackson,38.98222,-94.34284,2023
Find it Parts Inc.,90013,Los Angeles,USA,CA,63968,Los Angeles,34.04435,-118.24,2023
Boudreaux's Truck & Trailer Repair,77705,Beaumont,USA,TX,0,Jefferson,29.90652,-94.16961,2023
Costex Corporation,33166,Miami,USA,FL,-10992,Miami-Dade,25.8253,-80.31049,2023
Costex Corporation,33166,Miami,USA,FL,0,Miami-Dade,25.8253,-80.31049,2023
Allstate Peterbilt of Mankato,56003,North Mankato,USA,MN,23473,Nicollet,44.21273,-94.08877,2023
Bergey's Truck Centers,19428,Conshohocken,USA,PA,0,Montgomery,40.08011,-75.30317,2023
DPF Alternatives,43537,Maumee,USA,OH,11414,Lucas,41.57433,-83.68542,2023
Emission & Cooling Solutions - Dallas,75229,Dallas,USA,TX,0,Dallas,32.8939,-96.86517,2023
Carolina Thomas LLC,27409,Greensboro,USA,NC,0,Guilford,36.09242,-79.94431,2023
FleetPride Truck & Trailer Parts,60124,Elgin,USA,IL,0,Kane,42.02621,-88.39691,2023
Gateway Truck & Refrigeration,62234,Collinsville,USA,IL,1050,Madison,38.68214,-89.9815,2023
Gabrielli Truck Sales,11763,Medford,USA,NY,7520,Suffolk,40.82529,-72.98245,2023
Ring Power Corporation,34601,Brooksville,USA,FL,0,Hernando,28.5892,-82.36857,2023
Allstate Peterbilt of Alexandria,56308,Alexandria,USA,MN,4240,Douglas,45.87047,-95.38985,2023
Yancey Bros. Co.,30906,Augusta,USA,GA,0,Richmond,33.34842,-81.97239,2023
Peach State Freightliner LLC,30549,Jefferson,USA,GA,0,Jackson,34.10731,-83.57684,2023
Rex Radiator Sales & Distribution,60609,Chicago,USA,IL,5511,Cook,41.81263,-87.65559,2023
FleetPride Truck & Trailer Parts,28206,Charlotte,USA,NC,-2679,Mecklenburg,35.25631,-80.82144,2023
JX Truck Center - Wadsworth,60083,Wadsworth,USA,IL,0,Lake,42.43716,-87.94663,2023
White Associates,02025,Cohasset,USA,MA,15941,Norfolk,42.23603,-70.81906,2023
Sioux City Kenworth,51111,Sioux City,USA,IA,0,Woodbury,42.41129,-96.38606,2023
FleetPride - RDC Elgin,60124,Elgin,USA,IL,299991,Kane,42.02621,-88.39691,2023
Cumberland International Trucks,32114,Daytona Beach,USA,FL,2977,Volusia,29.19312,-81.04915,2023
"Keystone Spring Service, Inc.",16051,Portersville,USA,PA,0,Butler,40.94459,-80.14152,2023
SANDI ENT LLC,60191,Wood Dale,USA,IL,0,DuPage,41.9647,-87.98087,2023
"Truck Sales & Service, Inc.",44901,Mansfield,USA,OH,6124,Richland,40.76391,-82.51247,2023
Gulf Coast Truck & Montgomery,36110,Montgomery,USA,AL,4807,Montgomery,32.44899,-86.25566,2023
Emission & Cooling Solutions,17110,Harrisburg,USA,PA,0,Dauphin,40.31776,-76.88354,2023
"Interstate Truck Source, Inc.",48174,Romulus,USA,MI,72956,Wayne,42.20862,-83.35413,2023
Interstate Truck Source,48601,Saginaw,USA,MI,0,Saginaw,43.40096,-83.8952,2023
"Old River of Louisiana, Inc.",70814,Baton Rouge,USA,LA,6250,East Baton Rouge,30.48502,-91.06164,2023
Yancey Bros. Co.,31808,Fortson,USA,GA,0,Muscogee,32.63545,-85.00707,2023
"Old River of New Orleans, LLC",70517,Breaux Bridge,USA,LA,10002,St. Martin,30.28421,-91.79615,2023
Genuine Parts Company,30339,Atlanta,USA,GA,0,Fulton,33.86786,-84.46483,2023
Genuine Parts Company,32254,Jacksonville,USA,FL,0,Duval,30.34164,-81.73549,2023
Genuine Parts Company,31408,Garden City,USA,GA,0,Chatham,32.11164,-81.18158,2023
Genuine Parts Company,30276,Senoia,USA,GA,0,Coweta,33.26552,-84.582,2023
Genuine Parts Company,30288,Conley,USA,GA,19618,Clayton,33.65502,-84.32813,2023
Genuine Parts Company,30736,Ringgold,USA,GA,1080,Catoosa,34.90244,-85.13306,2023
Genuine Parts Company,40213,Louisville,USA,KY,0,Jefferson,38.177,-85.71571,2023
Holt Truck Centers,73401,Ardmore,USA,OK,2240,Carter,34.21045,-97.11434,2023
Emission & Cooling Solutions,27406,Greensboro,USA,NC,0,Guilford,35.9982,-79.76686,2023
Bergey's Truck Center,08691,Trenton,USA,NJ,0,Mercer,40.20953,-74.59919,2023
Ring Power Corporation,32025,Lake City,USA,FL,0,Columbia,30.11266,-82.57072,2023
"FYDA Freightliner Columbus, Inc.",43162,West Jefferson,USA,OH,-12475,Madison,39.94369,-83.30633,2023
FYDA Freightliner Western Star Zanesvill,43701,Zanesville,USA,OH,2200,Muskingum,39.95986,-81.99498,2023
"Landmark Trucks, LLC",37813,Morristown,USA,TN,0,Hamblen,36.17644,-83.26542,2023
"San Diego Friction, Inc.",92020,El Cajon,USA,CA,13493,San Diego,32.79557,-116.9697,2023
Imperial Valley Truck & Auto,92243,El Centro,USA,CA,0,Imperial,32.77285,-115.60065,2023
Yuma Truck Parts,85364,Yuma,USA,AZ,0,Yuma,32.70469,-114.65664,2023
"Old River of New Orleans, LLC",70615,Lake Charles,USA,LA,0,Calcasieu,30.25609,-93.12346,2023
Cleveland Mack DBA Performance Truck,77328,Cleveland,USA,TX,15628,Liberty,30.40767,-95.18888,2023
DLC Truck Parts LLC,87107,Albuquerque,USA,NM,0,Bernalillo,35.13747,-106.64363,2023
Gateway Truck & Refrigeration,60458,Justice,USA,IL,39393,Cook,41.74892,-87.83484,2023
TRP Fenton,63026,Fenton,USA,MO,0,St. Louis,38.50195,-90.45995,2023
Summit Truck Group,64507,Saint Joseph,USA,MO,0,Buchanan,39.73324,-94.75735,2023
CIT Trucks - Grayslake,60030,Grayslake,USA,IL,69185,Lake,42.33536,-88.04519,2023
TNT Parts,29669,Pelzer,USA,SC,12529,Anderson,34.6405,-82.41495,2023
CIT Trucks - Springfield,62707,Springfield,USA,IL,1029,Sangamon,39.85506,-89.64989,2023
"Carolina DPF Solutions, LLC",27217,Burlington,USA,NC,10078,Alamance,36.19221,-79.38404,2023
Turbo Diesel & Electric Systems,31206,MACON,USA,GA,0,Bibb,32.79383,-83.6832,2023
Ring Power Corporation,34475,Ocala,USA,FL,0,Marion,29.25282,-82.16065,2023
TLG Peterbilt - Willow Springs,65793,Willow Springs,USA,MO,0,Howell,36.98975,-91.9787,2023
Action Truck Parts,60490,Bolingbrook,USA,IL,0,Will,41.67575,-88.14118,2023
Action Truck Parts,60436,Rockdale,USA,IL,0,Will,41.48973,-88.12392,2023
"D & W Diesel, Inc. - Worcester Branch",01537,North Oxford,USA,MA,16761,Worcester,42.16177,-71.89217,2023
Ball Volvo Truck & Tire Center,63445,Kahoka,USA,MO,0,Clark,40.39681,-91.72044,2023
Ball Volvo Truck & Tire Center,63445,Kahoka,USA,MO,0,Clark,40.39681,-91.72044,2023
Doggett Freightliner,78109,Converse,USA,TX,-1077,Bexar,29.47977,-98.29295,2023
Performance Truck,75901,Lufkin,USA,TX,8462,Angelina,31.30264,-94.65481,2023
"Parts South of Georgia, Inc.",30288,Conley,USA,GA,23634,Clayton,33.65502,-84.32813,2023
"Texas Industrial Radiator, Inc.",78219,San Antonio,USA,TX,0,Bexar,29.44137,-98.38459,2023
Heavy Truck & Trailer Parts Inc.,73533,Duncan,USA,OK,2313,Stephens,34.49484,-97.84774,2023
Precision Truck Solutions Inc.,43824,Fresno,USA,OH,0,Coshocton,40.36407,-81.76116,2023
"Sattler Supply Co., LLC",70535,Eunice,USA,LA,0,St. Landry,30.47999,-92.42367,2023
"Sattler Supply Co., LLC",70535,Eunice,USA,LA,0,St. Landry,30.47999,-92.42367,2023
Ohio Automotive Supply Co.,45840,Findlay,USA,OH,117,Hancock,41.02626,-83.64943,2023
Clean Exhaust Specialists LLC,61874,Savoy,USA,IL,0,Champaign,40.05062,-88.26078,2023
Clean Exhaust Specialists LLC,61820,Champaign,USA,IL,0,Champaign,40.112,-88.24423,2023
DPF Alternatives of Roanoke,24179,Vinton,USA,VA,17417,Roanoke,37.2855,-79.79963,2023
Croell Redimix,82729,Sundance,USA,WY,0,Crook,44.36384,-104.38734,2023
Yancey Bros. Co.,31216,MACON,USA,GA,14410,Bibb,32.72885,-83.67914,2023
LKQ Corporation,21060,Glen Burnie,USA,MD,0,Anne Arundel,39.16893,-76.58346,2023
"Enviromotive, Inc.",92805,Anaheim,USA,CA,4783,Orange,33.83003,-117.90568,2023
"Lake Charles Truck Equipment Co, Inc.",70601,Lake Charles,USA,LA,0,Calcasieu,30.22627,-93.21525,2023
"Mid South Truck Equipment Co., Inc.",70518,Broussard,USA,LA,0,Lafayette,30.13503,-91.92922,2023
"Southwest Sales & Mfg. Co., Inc.",71107,Shreveport,USA,LA,0,Caddo,32.59509,-93.85909,2023
Inland Kenworth - Farmington,87401,Farmington,USA,NM,0,San Juan,36.73824,-108.18377,2023
Truck Supply Co. of South Carolina,29150,Sumter,USA,SC,0,Sumter,33.87621,-80.35609,2023
Kenworth Northwest Inc.- Pape,98198,Seatac,USA,WA,0,King,47.39469,-122.31111,2023
DPF Alternatives,89074,Henderson,USA,NV,32220,Clark,36.03639,-115.08113,2023
"CLF Warehouse, Inc.",93706,Fresno,USA,CA,-18,Fresno,36.65344,-119.90216,2023
"CLF Warehouse, Inc.",95691,West Sacramento,USA,CA,1571,Yolo,38.62394,-121.58272,2023
Rechtien International Trucks,33404,Riviera Beach,USA,FL,1357,Palm Beach,26.78248,-80.06567,2023
Mytee Products,44202,Aurora,USA,OH,0,Portage,41.31645,-81.34243,2023
Blaine Brothers - Baldwin,54002,Baldwin,USA,WI,0,St. Croix,44.95871,-92.37121,2023
Ring Power Corporation,32092,St. Augustine,USA,FL,0,St. Johns,29.92849,-81.52209,2023
"Hino Motors Sales USA, Inc.",38671,Southaven,USA,MS,-62009,DeSoto,34.96376,-89.99567,2023
Emission & Cooling Solutions,46323,Hammond,USA,IN,8885,Lake,41.58961,-87.45323,2023
Metzger Gear Inc.,14623,Rochester,USA,NY,0,Monroe,43.08798,-77.64314,2023
Fleetpride Truck & Trailer Parts,78132,New Braunfels,USA,TX,0,Comal,29.76299,-98.19,2023
Chatham Radiator,31408,Savannah,USA,GA,0,Chatham,32.11164,-81.18158,2023
Quantum Radiators DBA Transit Cooling US,78041,Laredo,USA,TX,0,Webb,27.55489,-99.46889,2023
"Charlebois Truck Parts, Inc.",05468,Milton,USA,VT,0,Chittenden,44.65378,-73.15343,2023
"AA Wheel & Truck Supply, Inc.",64116,North Kansas City,USA,MO,0,Clay,39.14875,-94.57444,2023
Bruckner's Truck & Equipment,79118,Amarillo,USA,TX,0,Potter,35.10103,-101.74863,2023
"Kenworth Northeast Group, Inc.",14218,Buffalo,USA,NY,3815,Erie,42.81921,-78.82772,2023
Bulldawg Holdings LLC,45840,Findlay,USA,OH,13301,Hancock,41.02626,-83.64943,2023
Stone Truck Parts,28269,Charlotte,USA,NC,980,Mecklenburg,35.33747,-80.8026,2023
FleetPride Truck & Trailer Parts,43228,Columbus,USA,OH,0,Franklin,39.96367,-83.12478,2023
New York Metro Truck Inc.,11788,Hauppauge,USA,NY,0,Suffolk,40.81808,-73.21318,2023
Inland Kenworth - Fontana,92335,Fontana,USA,CA,0,San Bernardino,34.08733,-117.46519,2023
Inland Kenworth - San Diego,92020,El Cajon,USA,CA,0,San Diego,32.79557,-116.9697,2023
"Dynamic Power Solutions, LLC DBA",20852,North Bethesda,USA,MD,0,Montgomery,39.05134,-77.12507,2023
"Jackson Truck Service, Inc.",49203,Jackson,USA,MI,0,Jackson,42.22096,-84.40347,2023
"Jackson Truck Service, Inc.",49201,Jackson,USA,MI,3668,Jackson,42.25213,-84.38301,2023
Truck Supply Co. of South Carolina,29203,Columbia,USA,SC,2787,Richland,34.10198,-81.04009,2023
Performance Truck,77905,Victoria,USA,TX,247,Victoria,28.72789,-97.0508,2023
FleetPride - RDC Lilburn,30047,Lilburn,USA,GA,765788,Gwinnett,33.87104,-84.11304,2023
"Tri-State Truck Center, Inc.",72117,North Little Rock,USA,AR,0,Pulaski,34.78076,-92.14548,2023
JX Truck Center - Champaign,61802,Urbana,USA,IL,202,Champaign,40.12288,-88.14863,2023
Holt Truck Centers,76302,Wichita Falls,USA,TX,0,Wichita,33.86607,-98.48487,2023
US Auto Radiator Supply Co. of Broward,33334,Oakland Park,USA,FL,456,Broward,26.18316,-80.13456,2023
Chatham Radiator,31408,Garden City,USA,GA,0,Chatham,32.11164,-81.18158,2023
ABC Bus Inc.,55021,Fairbault,USA,MN,73048,Rice,44.2973,-93.27414,2023
"Air Flow Solutions, Inc.",78737,Austin,USA,TX,69988,Travis,30.18935,-97.96059,2023
Summit Truck Group,72802,Russellville,USA,AR,0,Pope,35.31334,-93.06726,2023
JX Truck Center - Fort Wayne,46774,New Haven,USA,IN,0,Allen,41.09103,-84.96955,2023
McCandless Truck Center,80011,Aurora,USA,CO,71634,Arapahoe,39.74393,-104.78994,2023
Howard Smith Equipment Services,39501,Gulfport,USA,MS,965,Harrison,30.3857,-89.10309,2023
ABC Muncie,47302,Muncie,USA,IN,450153,Delaware,40.12992,-85.37553,2023
TLG Peterbilt - N Kentucky,41018,Erlanger,USA,KY,0,Kenton,39.01546,-84.60282,2023
Allstate Peterbilt of Bismarck,58503,Bismarck,USA,ND,0,Burleigh,46.90587,-100.75262,2023
Austin & Sons,33603,Tampa,USA,FL,0,Hillsborough,27.98526,-82.46458,2023
"TP Investment Group, LLC",34950,Ft. Pierce,USA,FL,0,St. Lucie,27.44341,-80.32969,2023
PMV Groups Inc-DBA Best Price Truck,95206,Stockton,USA,CA,0,San Joaquin,37.8961,-121.41051,2023
Gabrielli Truck Sales of NJ,08810,Dayton,USA,NJ,12401,Middlesex,40.37073,-74.49641,2023
Dario Diesel Service Inc.,01604,Worcester,USA,MA,2340,Worcester,42.25085,-71.7683,2023
Roberts Truck Center,79109,Amarillo,USA,TX,0,Potter,35.1665,-101.88633,2023
"FYDA Freightliner Youngstown, Inc.",44515,Youngstown,USA,OH,35452,Mahoning,41.1029,-80.76201,2023
DPF Alternatives Virginia LLC,20109,Manassas,USA,VA,0,Manassas,38.79472,-77.53105,2023
Allstate Peterbilt of Winona,55987,Winona,USA,MN,0,Winona,43.98469,-91.63143,2023
D & W Diesel Inc. - Cliffwood Branch,07721,Cliffwood,USA,NJ,4603,Monmouth,40.43556,-74.23555,2023
FleetPride Truck & Trailer Parts,43619,Northwood,USA,OH,0,Wood,41.60424,-83.47348,2023
Columbus Truck & Equipment,43219,Columbus,USA,OH,16088,Franklin,40.00774,-82.92233,2023
Allstate Parts of Sauk Rapids,56379,Sauk Rapids,USA,MN,14419,Benton,45.63966,-94.08394,2023
Gabrielli Truck Sales of Milford,06460,Milford,USA,CT,-23842,New Haven,41.21505,-73.05129,2023
"Gabrielli Truck Sales of CT, LLC",06106,Hartford,USA,CT,33236,Capitol,41.74818,-72.69683,2023
Performance Truck,77423,Brookshire,USA,TX,0,Waller,29.83386,-95.98219,2023
"D & W Diesel, Inc. - Denver Branch",80229,Denver,USA,CO,640,Denver,39.85472,-104.95867,2023
Fleet Express DPF Cleaning East,28206,Charlotte,USA,NC,0,Mecklenburg,35.25631,-80.82144,2023
DPF Xpress LLC,29203,Columbia,USA,SC,68,Richland,34.10198,-81.04009,2023
DPF Xpress LLC,29203,Columbia,USA,SC,3366,Richland,34.10198,-81.04009,2023
Serck Radiator - Mesa,85204,Mesa,USA,AZ,0,Maricopa,33.39666,-111.78786,2023
"D & W Diesel, Inc. - Albany Branch",12110,Latham,USA,NY,49985,Albany,42.75349,-73.77671,2023
FYDA Freightliner Barkeyville,16038,Harrisville,USA,PA,3979,Butler,41.15967,-79.95042,2023
Rechtien International Trucks,33916,Fort Myers,USA,FL,0,Lee,26.63998,-81.84104,2023
CIT Trucks - Bensenville,60106,Bensenville,USA,IL,26204,DuPage,41.9611,-87.94194,2023
"Cross Truck Equipment Co., Inc.",44708,Canton,USA,OH,0,Stark,40.81708,-81.43486,2023
"Cross Truck Equipment Co., Inc.",44706,Canton,USA,OH,0,Stark,40.75382,-81.4198,2023
Unico Spring Co.,11420,South Ozone Park,USA,NY,0,Queens,40.67352,-73.8177,2023
Allstate Peterbilt of Grand Forks,58203,Grand Forks,USA,ND,1305,Grand Forks,47.97181,-97.15425,2023
Doggett Freightliner,78577,Pharr,USA,TX,7149,Hidalgo,26.1665,-98.19082,2023
"Sioux City Truck & Trailer, Inc.",51111,Sioux City,USA,IA,0,Woodbury,42.41129,-96.38606,2023
"Nextran Truck Center, Kansas City",64161,Kansas City,USA,MO,1343,Jackson,39.16184,-94.44943,2023
"Bergey's GMC, Inc.",18964,Souderton,USA,PA,0,Montgomery,40.29759,-75.33327,2023
"Lubbock Truck Sales, Inc.",79404,Lubbock,USA,TX,0,Lubbock,33.52651,-101.79856,2023
Worldwide Equipment of Ohio,45414,Dayton,USA,OH,38343,Montgomery,39.84008,-84.21115,2023
"East Coast Truck & Trailer, Inc.",02301,Brockton,USA,MA,0,Plymouth,42.07791,-71.04223,2023
"General Truck Sales, Inc.",46064,Pendleton,USA,IN,357,Madison,39.98473,-85.74701,2023
MHC Kenworth - South Atlanta,30253,McDonough,USA,GA,0,Henry,33.45028,-84.18579,2023
CE Truck Parts LLC,77079,Houston,USA,TX,0,Harris,29.77632,-95.6037,2023
"Kurt's Truck & Parts Co., Inc.",35203,Birmingham,USA,AL,0,Jefferson,33.51847,-86.80999,2023
"R & R, Inc.",44515,Youngstown,USA,OH,83802,Mahoning,41.1029,-80.76201,2023
Pomona Truck & Auto Supply,91767,Pomona,USA,CA,55125,Los Angeles,34.08143,-117.73868,2023
